Component,Weight,Mean,Covariance
0,0.1999999998800832,-1.254429 4.509154 2.321035 0.985874 -3.439070 -3.440423 -4.419807 3.664026 1.011210 2.079706,0.999234 0.655873 0.657849 0.656343 0.656241 0.657082 0.656475 0.656732 0.658447 0.657464 0.655873 0.995720 0.656096 0.654993 0.655909 0.654686 0.655793 0.654649 0.656010 0.655886 0.657849 0.656096 1.001473 0.655047 0.657890 0.656681 0.657018 0.655449 0.658076 0.657929 0.656343 0.654993 0.655047 0.998035 0.655935 0.655291 0.655914 0.654926 0.654873 0.655209 0.656241 0.655909 0.657890 0.655935 0.997499 0.655855 0.656685 0.654743 0.657222 0.656315 0.657082 0.654686 0.656681 0.655291 0.655855 0.997738 0.655776 0.655038 0.657862 0.656152 0.656475 0.655793 0.657018 0.655914 0.656685 0.655776 0.999045 0.654727 0.656980 0.656457 0.656732 0.654649 0.655449 0.654926 0.654743 0.655038 0.654727 0.997741 0.655321 0.654892 0.658447 0.656010 0.658076 0.654873 0.657222 0.657862 0.656980 0.655321 1.000989 0.657501 0.657464 0.655886 0.657929 0.655209 0.656315 0.656152 0.656457 0.654892 0.657501 0.998517
1,0.2000000000008316,-3.777853 -0.047276 -4.659054 4.092376 -2.412261 1.629221 -1.881277 0.199855 0.467102 -3.148629,0.998157 0.137999 0.135575 0.135805 0.137203 0.139586 0.136572 0.135678 0.135912 0.135417 0.137999 1.001701 0.137914 0.137232 0.136318 0.136144 0.134175 0.134409 0.135565 0.134543 0.135575 0.137914 0.997927 0.135961 0.137887 0.136684 0.134907 0.135574 0.135965 0.135987 0.135805 0.137232 0.135961 0.996778 0.135019 0.136241 0.135568 0.137419 0.136228 0.135316 0.137203 0.136318 0.137887 0.135019 0.998785 0.137411 0.135972 0.135704 0.135245 0.138889 0.139586 0.136144 0.136684 0.136241 0.137411 1.001479 0.136675 0.136334 0.135029 0.135463 0.136572 0.134175 0.134907 0.135568 0.135972 0.136675 0.996116 0.136605 0.136018 0.134694 0.135678 0.134409 0.135574 0.137419 0.135704 0.136334 0.136605 0.999965 0.137411 0.137591 0.135912 0.135565 0.135965 0.136228 0.135245 0.135029 0.136018 0.137411 0.998437 0.135955 0.135417 0.134543 0.135987 0.135316 0.138889 0.135463 0.134694 0.137591 0.135955 1.000750
2,0.1999999999999719,1.073657 -3.295373 -4.350069 4.487035 4.653943 3.081767 -1.957055 -4.024485 1.840353 -0.598203,0.999538 0.550982 0.551332 0.551468 0.549575 0.553695 0.550285 0.552256 0.551753 0.551911 0.550982 0.999046 0.551484 0.551844 0.551283 0.552191 0.549879 0.553055 0.552879 0.552331 0.551332 0.551484 0.999811 0.551387 0.550835 0.552688 0.549989 0.552870 0.552368 0.552939 0.551468 0.551844 0.551387 0.998784 0.551130 0.553625 0.551058 0.552007 0.550971 0.554214 0.549575 0.551283 0.550835 0.551130 0.996055 0.550413 0.547217 0.550493 0.550322 0.553049 0.553695 0.552191 0.552688 0.553625 0.550413 1.001403 0.551605 0.552916 0.552441 0.554770 0.550285 0.549879 0.549989 0.551058 0.547217 0.551605 0.995344 0.550706 0.549890 0.551053 0.552256 0.553055 0.552870 0.552007 0.550493 0.552916 0.550706 0.998970 0.552555 0.554264 0.551753 0.552879 0.552368 0.550971 0.550322 0.552441 0.549890 0.552555 0.999239 0.552072 0.551911 0.552331 0.552939 0.554214 0.553049 0.554770 0.551053 0.554264 0.552072 1.001998
3,0.20000000011992417,-4.794457 4.698795 3.323038 -2.879155 -3.182548 -3.168316 -1.960475 0.248837 -0.682258 -2.090144,1.001567 0.386850 0.385661 0.388641 0.383918 0.384838 0.387485 0.387635 0.386555 0.385270 0.386850 1.003630 0.383715 0.386458 0.385775 0.382476 0.387388 0.384893 0.387098 0.386075 0.385661 0.383715 0.996777 0.385153 0.383718 0.382425 0.384984 0.382836 0.384559 0.382927 0.388641 0.386458 0.385153 1.002669 0.386251 0.386650 0.388638 0.385839 0.385675 0.384906 0.383918 0.385775 0.383718 0.386251 1.000243 0.381266 0.385150 0.386179 0.386237 0.382582 0.384838 0.382476 0.382425 0.386650 0.381266 0.997445 0.383707 0.383340 0.384291 0.383274 0.387485 0.387388 0.384984 0.388638 0.385150 0.383707 1.001377 0.387195 0.386876 0.385090 0.387635 0.384893 0.382836 0.385839 0.386179 0.383340 0.387195 1.000887 0.387126 0.384331 0.386555 0.387098 0.384559 0.385675 0.386237 0.384291 0.386876 0.387126 1.006098 0.387151 0.385270 0.386075 0.382927 0.384906 0.382582 0.383274 0.385090 0.384331 0.387151 0.997038
4,0.19999999999919774,1.116429 -3.605092 -2.079547 -1.338540 -0.439990 2.850914 -3.003851 0.142926 0.923445 -4.536574,1.000251 0.616031 0.613834 0.616313 0.615590 0.615671 0.614809 0.614963 0.614883 0.615158 0.616031 1.001693 0.616922 0.616938 0.615792 0.614982 0.615281 0.616710 0.614296 0.617092 0.613834 0.616922 0.999532 0.616354 0.614012 0.616936 0.614590 0.615595 0.615136 0.615798 0.616313 0.616938 0.616354 1.000408 0.615136 0.615738 0.614852 0.615350 0.615807 0.617142 0.615590 0.615792 0.614012 0.615136 1.000076 0.616569 0.616305 0.615617 0.615344 0.615810 0.615671 0.614982 0.616936 0.615738 0.616569 1.003283 0.616465 0.615917 0.615761 0.616643 0.614809 0.615281 0.614590 0.614852 0.616305 0.616465 0.999086 0.614266 0.614441 0.614983 0.614963 0.616710 0.615595 0.615350 0.615617 0.615917 0.614266 1.000280 0.615157 0.615706 0.614883 0.614296 0.615136 0.615807 0.615344 0.615761 0.614441 0.615157 1.000366 0.615444 0.615158 0.617092 0.615798 0.617142 0.615810 0.616643 0.614983 0.615706 0.615444 1.000159
