iteration,log_likelihood
205,-2553153.46269249
206,-2553153.300328257
207,-2553153.138284475
208,-2553152.976560102
209,-2553152.815154102
210,-2553152.6540654437
211,-2553152.493293103
212,-2553152.332836053
213,-2553152.1726932777
214,-2553152.0128637645
215,-2553151.853346503
216,-2553151.6941404887
217,-2553151.5352447205
218,-2553151.3766582026
219,-2553151.2183799427
220,-2553151.0604089536
221,-2553150.902744253
222,-2553150.7453848626
223,-2553150.5883298004
224,-2553150.4315781035
225,-2553150.2751287995
226,-2553150.1189809283
227,-2553149.9631335307
228,-2553149.8075856525
229,-2553149.652336342
230,-2553149.497384655
231,-2553149.3427296444
232,-2553149.188370377
233,-2553149.034305914
234,-2553148.8805353255
235,-2553148.7270576833
236,-2553148.5738720675
237,-2553148.420977555
238,-2553148.2683732337
239,-2553148.116058188
240,-2553147.9640315147
241,-2553147.8122923058
242,-2553147.6608396615
243,-2553147.509672686
244,-2553147.358790487
245,-2553147.2081921743
246,-2553147.0578768593
247,-2553146.9078436634
248,-2553146.7580917077
249,-2553146.608620117
250,-2553146.459428017
251,-2553146.3105145427
252,-2553146.161878828
253,-2553146.013520015
254,-2553145.865437242
255,-2553145.7176296604
256,-2553145.5700964136
257,-2553145.4228366613
258,-2553145.275849553
259,-2553145.129134251
260,-2553144.982689921
261,-2553144.8365157256
262,-2553144.69061084
263,-2553144.5449744286
264,-2553144.399605676
265,-2553144.2545037563
266,-2553144.1096678567
267,-2553143.9650971596
268,-2553143.820790858
269,-2553143.6767481407
270,-2553143.5329682073
271,-2553143.3894502516
272,-2553143.2461934825
273,-2553143.1031970987
274,-2553142.9604603145
275,-2553142.8179823346
276,-2553142.6757623777
277,-2553142.5337996646
278,-2553142.3920934075
279,-2553142.2506428366
280,-2553142.1094471756
281,-2553141.9685056563
282,-2553141.827817511
283,-2553141.6873819744
284,-2553141.5471982863
285,-2553141.407265685
286,-2553141.267583421
287,-2553141.1281507364
288,-2553140.9889668855
289,-2553140.8500311174
290,-2553140.7113426914
291,-2553140.572900863
292,-2553140.4347049003
293,-2553140.2967540603
294,-2553140.159047613
295,-2553140.021584832
296,-2553139.8843649863
297,-2553139.747387354
298,-2553139.610651212
299,-2553139.4741558414
300,-2553139.337900529
301,-2553139.201884557
302,-2553139.066107218
303,-2553138.930567804
304,-2553138.7952656066
305,-2553138.6601999244
306,-2553138.5253700623
307,-2553138.390775315
308,-2553138.256414992
309,-2553138.122288402
310,-2553137.9883948555
311,-2553137.854733659
312,-2553137.7213041354
313,-2553137.588105601
314,-2553137.4551373776
315,-2553137.322398783
316,-2553137.1898891497
317,-2553137.0576077993
318,-2553136.925554067
319,-2553136.793727285
320,-2553136.6621267884
321,-2553136.5307519124
322,-2553136.3996020057
323,-2553136.2686763993
324,-2553136.137974451
325,-2553136.0074954964
326,-2553135.877238892
327,-2553135.7472039945
328,-2553135.6173901516
329,-2553135.4877967224
330,-2553135.3584230677
331,-2553135.2292685453
332,-2553135.100332525
333,-2553134.9716143697
334,-2553134.8431134503
335,-2553134.7148291343
336,-2553134.5867608
337,-2553134.458907818
338,-2553134.3312695688
339,-2553134.2038454334
340,-2553134.0766347926
341,-2553133.9496370275
342,-2553133.8228515326
343,-2553133.696277691
344,-2553133.5699148946
345,-2553133.443762535
346,-2553133.3178200135
347,-2553133.1920867227
348,-2553133.066562064
349,-2553132.941245439
350,-2553132.8161362526
351,-2553132.6912339083
352,-2553132.5665378165
353,-2553132.4420473883
354,-2553132.317762032
355,-2553132.1936811665
356,-2553132.069804206
357,-2553131.946130571
358,-2553131.822659678
359,-2553131.6993909543
360,-2553131.576323821
361,-2553131.453457709
362,-2553131.330792044
363,-2553131.208326255
364,-2553131.0860597785
365,-2553130.9639920457
366,-2553130.842122495
367,-2553130.720450568
368,-2553130.598975701
369,-2553130.477697339
370,-2553130.356614922
371,-2553130.2357279016
372,-2553130.1150357234
373,-2553129.9945378397
374,-2553129.874233698
375,-2553129.7541227555
376,-2553129.634204469
377,-2553129.514478296
378,-2553129.3949436946
379,-2553129.275600124
380,-2553129.1564470516
381,-2553129.0374839404
382,-2553128.9187102616
383,-2553128.8001254764
384,-2553128.681729059
385,-2553128.563520483
386,-2553128.4454992223
387,-2553128.32766475
388,-2553128.210016547
389,-2553128.092554091
390,-2553127.975276864
391,-2553127.85818435
392,-2553127.7412760323
393,-2553127.624551398
394,-2553127.5080099353
395,-2553127.3916511326
396,-2553127.275474484
397,-2553127.1594794816
398,-2553127.0436656205
399,-2553126.9280323996
400,-2553126.812579314
401,-2553126.697305864
402,-2553126.5822115536
403,-2553126.4672958865
404,-2553126.3525583646
405,-2553126.237998498
406,-2553126.123615795
407,-2553126.0094097615
408,-2553125.895379913
409,-2553125.781525765
410,-2553125.667846827
411,-2553125.5543426173
412,-2553125.4410126563
413,-2553125.3278564606
414,-2553125.2148735547
415,-2553125.1020634593
416,-2553124.9894257
417,-2553124.8769597993
418,-2553124.764665288
419,-2553124.652541696
420,-2553124.5405885526
421,-2553124.4288053904
422,-2553124.317191742
423,-2553124.2057471424
424,-2553124.0944711324
425,-2553123.983363246
426,-2553123.8724230244
427,-2553123.7616500077
428,-2553123.6510437387
429,-2553123.5406037644
430,-2553123.4303296274
431,-2553123.320220878
432,-2553123.210277064
433,-2553123.100497732
434,-2553122.9908824353
435,-2553122.881430731
436,-2553122.7721421695
437,-2553122.663016307
438,-2553122.5540527026
439,-2553122.445250912
440,-2553122.3366104974
441,-2553122.2281310223
442,-2553122.119812046
443,-2553122.011653135
444,-2553121.9036538526
445,-2553121.7958137686
446,-2553121.6881324537
447,-2553121.580609472
448,-2553121.4732443984
449,-2553121.366036806
450,-2553121.2589862645
451,-2553121.1520923534
452,-2553121.0453546518
453,-2553120.9387727305
454,-2553120.8323461725
455,-2553120.726074562
456,-2553120.619957475
457,-2553120.5139944996
458,-2553120.4081852166
459,-2553120.302529215
460,-2553120.1970260795
461,-2553120.091675401
462,-2553119.9864767673
463,-2553119.8814297733
464,-2553119.7765340055
465,-2553119.6717890617
466,-2553119.5671945377
467,-2553119.462750027
468,-2553119.358455128
469,-2553119.254309438
470,-2553119.1503125625
471,-2553119.0464640963
472,-2553118.9427636457
473,-2553118.839210812
474,-2553118.735805202
475,-2553118.6325464225
476,-2553118.5294340756
477,-2553118.426467775
478,-2553118.3236471326
479,-2553118.220971753
480,-2553118.1184412553
481,-2553118.016055246
482,-2553117.913813343
483,-2553117.811715163
484,-2553117.7097603222
485,-2553117.6079484383
486,-2553117.5062791314
487,-2553117.404752021
488,-2553117.3033667295
489,-2553117.202122881
490,-2553117.101020095
491,-2553117.000058003
492,-2553116.8992362265
493,-2553116.798554391
494,-2553116.6980121317
495,-2553116.5976090743
496,-2553116.4973448496
497,-2553116.3972190884
498,-2553116.297231427
499,-2553116.1973814983
500,-2553116.0976689365
501,-2553115.998093377
502,-2553115.898654461
503,-2553115.7993518226
504,-2553115.7001851043
505,-2553115.6011539474
506,-2553115.50225799
507,-2553115.403496878
508,-2553115.304870257
509,-2553115.2063777675
510,-2553115.108019059
511,-2553115.009793777
512,-2553114.9117015693
513,-2553114.8137420854
514,-2553114.7159149786
515,-2553114.618219896
516,-2553114.5206564916
517,-2553114.42322442
518,-2553114.3259233353
519,-2553114.2287528887
520,-2553114.1317127435
521,-2553114.0348025537
522,-2553113.938021977
523,-2553113.8413706757
524,-2553113.7448483063
525,-2553113.6484545358
526,-2553113.5521890223
527,-2553113.45605143
528,-2553113.3600414256
529,-2553113.2641586736
530,-2553113.1684028404
531,-2553113.0727735935
532,-2553112.977270601
533,-2553112.881893529
534,-2553112.7866420546
535,-2553112.6915158466
536,-2553112.59651458
537,-2553112.50163792
538,-2553112.4068855476
539,-2553112.3122571358
540,-2553112.2177523645
541,-2553112.1233709045
542,-2553112.0291124396
543,-2553111.934976642
544,-2553111.8409632007
545,-2553111.7470717886
546,-2553111.653302092
547,-2553111.559653793
548,-2553111.466126572
549,-2553111.372720119
550,-2553111.2794341147
551,-2553111.1862682486
552,-2553111.0932222065
553,-2553111.000295679
554,-2553110.9074883494
555,-2553110.8147999137
556,-2553110.722230058
557,-2553110.6297784788
558,-2553110.5374448653
559,-2553110.4452289133
560,-2553110.3531303173
561,-2553110.2611487685
562,-2553110.1692839684
563,-2553110.077535612
564,-2553109.985903394
565,-2553109.8943870184
566,-2553109.802986183
567,-2553109.7117005857
568,-2553109.620529933
569,-2553109.5294739227
570,-2553109.438532259
571,-2553109.3477046452
572,-2553109.256990789
573,-2553109.1663903943
574,-2553109.075903165
575,-2553108.9855288127
576,-2553108.8952670405
577,-2553108.805117561
578,-2553108.7150800833
579,-2553108.6251543188
580,-2553108.5353399776
581,-2553108.445636771
582,-2553108.3560444135
583,-2553108.266562618
584,-2553108.177191101
585,-2553108.087929575
586,-2553107.9987777565
587,-2553107.909735366
588,-2553107.820802119
589,-2553107.731977732
590,-2553107.643261927
591,-2553107.5546544255
592,-2553107.466154945
593,-2553107.37776321
594,-2553107.2894789404
595,-2553107.2013018616
596,-2553107.113231697
597,-2553107.025268172
598,-2553106.937411012
599,-2553106.8496599416
600,-2553106.7620146917
601,-2553106.6744749863
602,-2553106.5870405543
603,-2553106.499711127
604,-2553106.4124864354
605,-2553106.3253662093
606,-2553106.2383501763
607,-2553106.1514380765
608,-2553106.064629638
609,-2553105.9779245933
610,-2553105.8913226784
611,-2553105.804823633
612,-2553105.7184271873
613,-2553105.6321330816
614,-2553105.545941054
615,-2553105.459850838
616,-2553105.3738621757
617,-2553105.287974808
618,-2553105.2021884737
619,-2553105.1165029122
620,-2553105.0309178676
621,-2553104.9454330844
622,-2553104.8600482987
623,-2553104.774763262
624,-2553104.689577717
625,-2553104.6044914047
626,-2553104.5195040773
627,-2553104.4346154775
628,-2553104.349825351
629,-2553104.2651334503
630,-2553104.1805395246
631,-2553104.0960433176
632,-2553104.0116445827
633,-2553103.927343074
634,-2553103.843138538
635,-2553103.7590307277
636,-2553103.675019399
637,-2553103.591104302
638,-2553103.5072851917
639,-2553103.423561825
640,-2553103.339933954
641,-2553103.2564013363
642,-2553103.1729637305
643,-2553103.089620891
644,-2553103.0063725775
645,-2553102.923218547
646,-2553102.840158563
647,-2553102.757192383
648,-2553102.674319766
649,-2553102.5915404735
650,-2553102.5088542714
651,-2553102.4262609216
652,-2553102.343760181
653,-2553102.2613518205
654,-2553102.179035602
655,-2553102.0968112904
656,-2553102.014678653
657,-2553101.9326374517
658,-2553101.850687457
659,-2553101.7688284405
660,-2553101.6870601624
661,-2553101.6053823954
662,-2553101.5237949085
663,-2553101.4422974745
664,-2553101.360889861
665,-2553101.2795718387
666,-2553101.198343181
667,-2553101.1172036617
668,-2553101.0361530515
669,-2553100.955191124
670,-2553100.874317654
671,-2553100.793532416
672,-2553100.7128351904
673,-2553100.6322257463
674,-2553100.5517038614
675,-2553100.4712693198
676,-2553100.3909218907
677,-2553100.3106613574
678,-2553100.230487498
679,-2553100.150400091
680,-2553100.070398917
681,-2553099.990483758
682,-2553099.9106543935
683,-2553099.830910607
684,-2553099.751252178
685,-2553099.671678895
686,-2553099.5921905367
687,-2553099.512786889
688,-2553099.4334677365
689,-2553099.354232862
690,-2553099.2750820564
691,-2553099.196015102
692,-2553099.1170317894
693,-2553099.038131901
694,-2553098.959315228
695,-2553098.8805815596
696,-2553098.8019306855
697,-2553098.7233623904
698,-2553098.644876471
699,-2553098.5664727148
700,-2553098.4881509105
701,-2553098.4099108563
702,-2553098.331752339
703,-2553098.2536751544
704,-2553098.175679096
705,-2553098.097763958
706,-2553098.019929532
707,-2553097.9421756174
708,-2553097.8645020025
709,-2553097.7869084924
710,-2553097.7093948782
711,-2553097.6319609582
712,-2553097.5546065317
713,-2553097.4773313953
714,-2553097.4001353458
715,-2553097.3230181877
716,-2553097.2459797147
717,-2553097.1690197336
718,-2553097.0921380394
719,-2553097.0153344343
720,-2553096.9386087223
721,-2553096.861960703
722,-2553096.7853901847
723,-2553096.708896965
724,-2553096.6324808463
725,-2553096.556141639
726,-2553096.479879144
727,-2553096.403693166
728,-2553096.327583516
729,-2553096.2515499922
730,-2553096.175592408
731,-2553096.099710568
732,-2553096.02390428
733,-2553095.9481733525
734,-2553095.872517593
735,-2553095.7969368133
736,-2553095.7214308176
737,-2553095.645999424
738,-2553095.5706424383
739,-2553095.4953596713
740,-2553095.420150936
741,-2553095.3450160436
742,-2553095.2699548085
743,-2553095.1949670427
744,-2553095.120052555
745,-2553095.045211165
746,-2553094.970442687
747,-2553094.8957469338
748,-2553094.821123719
749,-2553094.7465728642
750,-2553094.6720941793
751,-2553094.5976874866
752,-2553094.5233525983
753,-2553094.449089334
754,-2553094.3748975107
755,-2553094.300776951
756,-2553094.2267274703
757,-2553094.152748886
758,-2553094.0788410218
759,-2553094.0050036977
760,-2553093.931236733
761,-2553093.8575399504
762,-2553093.78391317
763,-2553093.7103562145
764,-2553093.636868906
765,-2553093.5634510685
766,-2553093.4901025225
767,-2553093.4168230966
768,-2553093.343612614
769,-2553093.2704708935
770,-2553093.197397769
771,-2553093.124393059
772,-2553093.051456592
773,-2553092.978588195
774,-2553092.9057876957
775,-2553092.8330549197
776,-2553092.760389696
777,-2553092.68779185
778,-2553092.6152612143
779,-2553092.5427976144
780,-2553092.470400882
781,-2553092.3980708453
782,-2553092.325807335
783,-2553092.2536101816
784,-2553092.1814792175
785,-2553092.1094142715
786,-2553092.037415177
787,-2553091.965481769
788,-2553091.8936138744
789,-2553091.8218113314
790,-2553091.7500739717
791,-2553091.678401628
792,-2553091.606794137
793,-2553091.5352513315
794,-2553091.4637730476
795,-2553091.3923591175
796,-2553091.321009384
797,-2553091.249723679
798,-2553091.178501837
799,-2553091.1073437
800,-2553091.0362491016
801,-2553090.965217883
802,-2553090.8942498793
803,-2553090.8233449315
804,-2553090.7525028787
805,-2553090.6817235565
806,-2553090.6110068113
807,-2553090.5403524796
808,-2553090.4697604
809,-2553090.3992304164
810,-2553090.32876237
811,-2553090.2583561013
812,-2553090.188011455
813,-2553090.117728271
814,-2553090.0475063915
815,-2553089.9773456617
816,-2553089.907245924
817,-2553089.837207026
818,-2553089.7672288045
819,-2553089.697311115
820,-2553089.627453793
821,-2553089.557656689
822,-2553089.487919644
823,-2553089.4182425137
824,-2553089.3486251337
825,-2553089.27906736
826,-2553089.2095690337
827,-2553089.1401300044
828,-2553089.070750121
829,-2553089.0014292323
830,-2553088.9321671845
831,-2553088.862963831
832,-2553088.7938190177
833,-2553088.724732595
834,-2553088.6557044135
835,-2553088.5867343233
836,-2553088.517822177
837,-2553088.4489678266
838,-2553088.380171118
839,-2553088.31143191
840,-2553088.2427500486
841,-2553088.1741253934
842,-2553088.1055577933
843,-2553088.037047102
844,-2553087.9685931723
845,-2553087.900195859
846,-2553087.8318550163
847,-2553087.763570504
848,-2553087.69534217
849,-2553087.627169871
850,-2553087.5590534643
851,-2553087.490992806
852,-2553087.4229877545
853,-2553087.355038162
854,-2553087.2871438893
855,-2553087.2193047935
856,-2553087.1515207295
857,-2553087.0837915577
858,-2553087.0161171374
859,-2553086.9484973247
860,-2553086.88093198
861,-2553086.8134209653
862,-2553086.7459641374
863,-2553086.6785613545
864,-2553086.6112124813
865,-2553086.543917374
866,-2553086.4766758992
867,-2553086.4094879124
868,-2553086.34235328
869,-2553086.2752718637
870,-2553086.208243523
871,-2553086.141268121
872,-2553086.0743455198
873,-2553086.007475589
874,-2553085.9406581842
875,-2553085.8738931734
876,-2553085.8071804214
877,-2553085.7405197923
878,-2553085.6739111478
879,-2553085.607354356
880,-2553085.540849281
881,-2553085.474395793
882,-2553085.4079937506
883,-2553085.3416430266
884,-2553085.275343483
885,-2553085.2090949905
886,-2553085.1428974126
887,-2553085.076750623
888,-2553085.010654483
889,-2553084.9446088667
890,-2553084.878613637
891,-2553084.812668666
892,-2553084.746773823
893,-2553084.6809289763
894,-2553084.6151339957
895,-2553084.5493887514
896,-2553084.483693116
897,-2553084.418046955
898,-2553084.352450144
899,-2553084.28690255
900,-2553084.2214040477
901,-2553084.1559545114
902,-2553084.0905538104
903,-2553084.0252018133
904,-2553083.959898398
905,-2553083.894643435
906,-2553083.8294367967
907,-2553083.76427836
908,-2553083.699167996
909,-2553083.6341055804
910,-2553083.5690909876
911,-2553083.5041240877
912,-2553083.4392047636
913,-2553083.374332885
914,-2553083.3095083274
915,-2553083.2447309704
916,-2553083.180000687
917,-2553083.1153173535
918,-2553083.0506808474
919,-2553082.9860910457
920,-2553082.921547825
921,-2553082.8570510643
922,-2553082.7926006387
923,-2553082.72819643
924,-2553082.663838312
925,-2553082.599526167
926,-2553082.535259874
927,-2553082.4710393082
928,-2553082.406864351
929,-2553082.342734882
930,-2553082.278650783
931,-2553082.214611932
932,-2553082.150618211
933,-2553082.0866694986
934,-2553082.0227656784
935,-2553081.9589066305
936,-2553081.895092233
937,-2553081.8313223743
938,-2553081.767596931
939,-2553081.7039157897
940,-2553081.640278829
941,-2553081.576685935
942,-2553081.5131369904
943,-2553081.449631874
944,-2553081.3861704753
945,-2553081.3227526736
