iteration,log_likelihood
223,-2553150.588329801
224,-2553150.431578102
225,-2553150.2751287995
226,-2553150.1189809283
227,-2553149.963133531
228,-2553149.8075856525
229,-2553149.652336343
230,-2553149.497384655
231,-2553149.342729646
232,-2553149.1883703773
233,-2553149.0343059134
234,-2553148.8805353246
235,-2553148.7270576833
236,-2553148.573872067
237,-2553148.420977555
238,-2553148.2683732333
239,-2553148.1160581885
240,-2553147.9640315147
241,-2553147.812292306
242,-2553147.6608396624
243,-2553147.509672688
244,-2553147.3587904884
245,-2553147.2081921743
246,-2553147.0578768607
247,-2553146.9078436648
248,-2553146.758091708
249,-2553146.6086201165
250,-2553146.459428017
251,-2553146.310514543
252,-2553146.161878829
253,-2553146.013520015
254,-2553145.865437243
255,-2553145.7176296595
256,-2553145.570096415
257,-2553145.42283666
258,-2553145.275849553
259,-2553145.129134252
260,-2553144.982689921
261,-2553144.836515726
262,-2553144.690610838
263,-2553144.5449744286
264,-2553144.3996056756
265,-2553144.2545037568
266,-2553144.1096678562
267,-2553143.96509716
268,-2553143.820790858
269,-2553143.676748141
270,-2553143.532968207
271,-2553143.389450253
272,-2553143.246193482
273,-2553143.103197099
274,-2553142.9604603136
275,-2553142.8179823346
276,-2553142.6757623786
277,-2553142.533799663
278,-2553142.3920934075
279,-2553142.250642836
280,-2553142.1094471766
281,-2553141.9685056577
282,-2553141.827817512
283,-2553141.687381975
284,-2553141.5471982867
285,-2553141.407265688
286,-2553141.267583422
287,-2553141.1281507383
288,-2553140.988966885
289,-2553140.850031118
290,-2553140.7113426914
291,-2553140.5729008643
292,-2553140.4347048984
293,-2553140.2967540594
294,-2553140.159047614
295,-2553140.0215848326
296,-2553139.8843649873
297,-2553139.7473873543
298,-2553139.6106512123
299,-2553139.474155843
300,-2553139.3379005287
301,-2553139.2018845575
302,-2553139.066107218
303,-2553138.9305678033
304,-2553138.795265607
305,-2553138.660199926
306,-2553138.5253700614
307,-2553138.390775315
308,-2553138.256414993
309,-2553138.1222884026
310,-2553137.9883948537
311,-2553137.8547336604
312,-2553137.7213041377
313,-2553137.588105603
314,-2553137.4551373776
315,-2553137.322398784
316,-2553137.189889149
317,-2553137.0576078
318,-2553136.925554068
319,-2553136.793727285
320,-2553136.6621267875
321,-2553136.530751914
322,-2553136.399602004
323,-2553136.2686764007
324,-2553136.137974449
325,-2553136.0074954974
326,-2553135.877238895
327,-2553135.747203995
328,-2553135.617390151
329,-2553135.4877967224
330,-2553135.358423067
331,-2553135.229268546
332,-2553135.1003325256
333,-2553134.97161437
334,-2553134.8431134503
335,-2553134.7148291357
336,-2553134.5867608
337,-2553134.458907819
338,-2553134.3312695697
339,-2553134.203845434
340,-2553134.076634792
341,-2553133.9496370293
342,-2553133.822851533
343,-2553133.69627769
344,-2553133.5699148946
345,-2553133.443762537
346,-2553133.3178200144
347,-2553133.192086724
348,-2553133.066562065
349,-2553132.9412454395
350,-2553132.816136253
351,-2553132.6912339088
352,-2553132.566537817
353,-2553132.442047387
354,-2553132.317762032
355,-2553132.1936811665
356,-2553132.069804206
357,-2553131.94613057
358,-2553131.8226596783
359,-2553131.699390954
360,-2553131.576323822
361,-2553131.4534577085
362,-2553131.330792043
363,-2553131.208326255
364,-2553131.086059778
365,-2553130.9639920467
366,-2553130.842122498
367,-2553130.7204505694
368,-2553130.598975702
369,-2553130.4776973384
370,-2553130.356614923
371,-2553130.2357279025
372,-2553130.115035724
373,-2553129.9945378387
374,-2553129.8742336985
375,-2553129.754122757
376,-2553129.63420447
377,-2553129.514478296
378,-2553129.3949436937
379,-2553129.275600125
380,-2553129.1564470525
381,-2553129.037483942
382,-2553128.9187102597
383,-2553128.8001254755
384,-2553128.681729059
385,-2553128.5635204827
386,-2553128.4454992223
387,-2553128.32766475
388,-2553128.2100165472
389,-2553128.092554092
390,-2553127.9752768655
391,-2553127.858184351
392,-2553127.741276033
393,-2553127.624551399
394,-2553127.5080099357
395,-2553127.391651134
396,-2553127.2754744845
397,-2553127.1594794826
398,-2553127.0436656214
399,-2553126.9280323987
400,-2553126.8125793133
401,-2553126.6973058647
402,-2553126.582211553
403,-2553126.4672958856
404,-2553126.3525583646
405,-2553126.2379984977
406,-2553126.123615794
407,-2553126.009409762
408,-2553125.895379914
409,-2553125.7815257637
410,-2553125.6678468264
411,-2553125.5543426177
412,-2553125.4410126563
413,-2553125.3278564615
414,-2553125.214873554
415,-2553125.1020634584
416,-2553124.989425698
417,-2553124.876959799
418,-2553124.764665289
419,-2553124.652541696
420,-2553124.540588553
421,-2553124.4288053904
422,-2553124.317191743
423,-2553124.2057471443
424,-2553124.0944711324
425,-2553123.983363246
426,-2553123.8724230235
427,-2553123.761650008
428,-2553123.65104374
429,-2553123.5406037658
430,-2553123.430329629
431,-2553123.3202208793
432,-2553123.2102770633
433,-2553123.100497733
434,-2553122.9908824386
435,-2553122.881430732
436,-2553122.77214217
437,-2553122.663016308
438,-2553122.5540527026
439,-2553122.445250913
440,-2553122.336610499
441,-2553122.2281310223
442,-2553122.1198120457
443,-2553122.0116531346
444,-2553121.903653854
445,-2553121.7958137705
446,-2553121.6881324537
447,-2553121.5806094725
448,-2553121.473244399
449,-2553121.366036805
450,-2553121.258986265
451,-2553121.1520923553
452,-2553121.045354651
