iteration,log_likelihood
88,-2553175.026080371
89,-2553174.8148285635
90,-2553174.604346448
91,-2553174.394601056
92,-2553174.18556296
93,-2553173.9772056225
94,-2553173.769505406
95,-2553173.5624408214
96,-2553173.3559928006
97,-2553173.1501440057
98,-2553172.9448788655
99,-2553172.7401833474
100,-2553172.5360446726
101,-2553172.332451394
102,-2553172.1293930933
103,-2553171.9268602645
104,-2553171.7248442997
105,-2553171.523337308
106,-2553171.322332145
107,-2553171.1218221574
108,-2553170.921801355
109,-2553170.722264097
110,-2553170.52320529
111,-2553170.32462018
112,-2553170.1265043337
113,-2553169.928853599
114,-2553169.7316641477
115,-2553169.5349323866
116,-2553169.3386549153
117,-2553169.1428285474
118,-2553168.9474502592
119,-2553168.7525172113
120,-2553168.5580266733
121,-2553168.3639760087
122,-2553168.170362821
123,-2553167.9771846216
124,-2553167.7844392434
125,-2553167.5921243867
126,-2553167.400237978
127,-2553167.208777955
128,-2553167.017742291
129,-2553166.827129064
130,-2553166.636936365
131,-2553166.4471623357
132,-2553166.257805223
133,-2553166.06886319
134,-2553165.8803345845
135,-2553165.692217659
136,-2553165.5045107203
137,-2553165.3172122156
138,-2553165.1303204414
139,-2553164.943833841
140,-2553164.7577508595
141,-2553164.572069937
142,-2553164.3867895287
143,-2553164.201908098
144,-2553164.0174242146
145,-2553163.8333363705
146,-2553163.649643081
147,-2553163.466342885
148,-2553163.2834343924
149,-2553163.1009161645
150,-2553162.918786788
151,-2553162.7370447847
152,-2553162.5556888543
153,-2553162.3747176216
154,-2553162.194129609
155,-2553162.013923561
156,-2553161.8340980583
157,-2553161.654651829
158,-2553161.475583483
159,-2553161.2968917293
160,-2553161.118575192
161,-2553160.940632632
162,-2553160.7630626764
163,-2553160.585864113
164,-2553160.409035606
165,-2553160.2325758827
166,-2553160.0564836506
167,-2553159.880757707
168,-2553159.705396728
169,-2553159.530399486
170,-2553159.3557647266
171,-2553159.1814912534
172,-2553159.0075777955
173,-2553158.83402313
174,-2553158.6608260535
175,-2553158.4879853316
176,-2553158.3154997607
177,-2553158.1433681715
178,-2553157.971589352
179,-2553157.8001621054
180,-2553157.629085258
181,-2553157.458357625
182,-2553157.2879779604
183,-2553157.117945254
184,-2553156.9482582663
185,-2553156.778915812
186,-2553156.609916757
187,-2553156.441260002
188,-2553156.272944369
189,-2553156.104968764
190,-2553155.9373319447
191,-2553155.770032916
192,-2553155.6030705124
193,-2553155.436443616
194,-2553155.2701511285
195,-2553155.104191939
196,-2553154.938564967
197,-2553154.773269089
198,-2553154.6083032615
199,-2553154.443666341
200,-2553154.279357305
201,-2553154.1153750503
202,-2553153.9517185194
203,-2553153.78838666
204,-2553153.625378376
205,-2553153.462692659
206,-2553153.3003284186
207,-2553153.1382846367
208,-2553152.976560267
209,-2553152.8151542875
210,-2553152.6540656257
211,-2553152.493293287
212,-2553152.3328362117
213,-2553152.1726934626
214,-2553152.012863931
215,-2553151.8533466826
216,-2553151.694140642
217,-2553151.5352448886
218,-2553151.376658369
219,-2553151.2183801043
220,-2553151.0604091017
221,-2553150.902744433
222,-2553150.7453850317
223,-2553150.588329961
224,-2553150.43157828
225,-2553150.275128989
226,-2553150.1189811095
227,-2553149.9631336923
228,-2553149.807585815
229,-2553149.6523365024
230,-2553149.497384849
231,-2553149.3427298265
232,-2553149.188370555
233,-2553149.034306066
234,-2553148.8805354834
235,-2553148.7270578262
236,-2553148.573872249
237,-2553148.420977725
238,-2553148.2683734223
239,-2553148.1160583463
240,-2553147.9640316963
241,-2553147.812292476
242,-2553147.6608398287
243,-2553147.509672876
244,-2553147.3587906477
245,-2553147.208192362
246,-2553147.057877047
247,-2553146.90784382
248,-2553146.7580918777
249,-2553146.608620289
250,-2553146.4594281716
251,-2553146.31051473
252,-2553146.1618790384
253,-2553146.0135201807
